X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-125.412166987543,53.0714654597118,175,165,MOOSE LAKE,FMO,53.07146,-125.41215,1109,1991/08/06 22:00:00+00,965280
-117.175688926694,51.175346397367,176,1790,CARIBOO CREEK,FCC,51.17534,-117.175674,1529,2021/09/02 20:40:34+00,965281
-125.525367489706,54.3618884748796,177,167,AUGIER LAKE,FAU,54.361883,-125.52535,918,1983/12/31 23:00:00+00,965282
-125.779333901622,53.5024384218095,178,170,EAST OOTSA,FEO,53.502433,-125.779317,1089,1989/10/30 23:00:00+00,965283
-125.477417772351,55.0818354965294,179,171,LEO CREEK,FLE,55.08183,-125.4774,915,1994/05/26 22:00:00+00,965284
-126.577468134791,55.5378553530767,180,172,NILKITKWA,FNL,55.53785,-126.57745,978,1991/05/15 22:00:00+00,965285
-121.56034979278,53.4631448682584,181,193,BOWRON HAGGEN,FBW,53.463139,-121.560333,945,1991/07/18 22:00:00+00,965286
-120.911682883205,52.9100060294382,182,263,MATHEW,FEW,52.91,-120.911667,1108,1991/07/18 22:00:00+00,965287
-121.888198938898,50.6720225157581,183,280,LILLOOET,FLL,50.672017,-121.888183,408,1989/09/17 22:00:00+00,965288
-116.24491463839,50.8193064837616,184,865,BRISCO,FRO,50.8193,-116.2449,930,2004/05/11 22:00:00+00,965289
-122.24894915236,51.1774724936802,185,306,FRENCH BAR,FFB,51.177467,-122.248933,1320,1992/04/22 22:00:00+00,965290
-127.034268555626,56.3287352994378,186,156,SUSTUT,FST,56.32873,-127.03425,871,1995/06/08 22:00:00+00,965291
-125.876084082449,53.9453884194923,187,161,GRASSY PLAINS HUB,FGP,53.945383,-125.876067,944,1989/10/30 23:00:00+00,965292
-124.646915587223,48.927572117355,188,11,SUMMIT,FUT,48.927567,-124.6469,680,1991/10/08 22:00:00+00,965293
-126.607066231647,50.2131219296847,189,21,WOSS CAMP,FWS,50.213117,-126.60705,156,1989/11/21 23:00:00+00,965294
-124.933625751796,49.3775054008272,190,37,BEAVER CREEK,FBC,49.3775,-124.93361,121,1987/07/25 22:00:00+00,965295
-121.525981912634,49.3806057975019,191,67,HAIG CAMP,FHA,49.3806,-121.525967,38,2002/05/30 22:00:00+00,965296
-128.85981819995,54.9167380290595,192,105,ROSSWOOD,FRS,54.916733,-128.8598,239,1989/12/31 23:00:00+00,965297
-131.171169906507,57.9141377040123,193,110,TELEGRAPH CREEK,FTC,57.914133,-131.17115,382,1988/07/12 22:00:00+00,965298
-130.018269728887,57.8615048751718,194,112,ISKUT,FIK,57.8615,-130.01825,890,1992/12/02 23:00:00+00,965299
-120.934066971774,55.0273661038911,195,127,TUMBLER HUB,FTB,55.02736,-120.93405,942,1988/12/12 23:00:00+00,965300
-118.914715288955,51.2735231988289,196,344,SEYMOUR ARM,FSM,51.273517,-118.9147,511,1990/07/01 22:00:00+00,965301
-118.102515357488,51.9972263330079,197,361,TSAR CREEK,FTS,51.99722,-118.1025,1200,1990/05/12 22:00:00+00,965302
-122.688904743912,50.910891829981,198,1029,FIVE MILE,FFM,50.910886,-122.688889,865,2008/08/06 22:00:00+00,965303
-116.793331389557,50.6126231092052,199,1092,RORY CREEK,FRE,50.612617,-116.793317,1580,2010/10/05 22:00:00+00,965304
-125.575616072221,50.1710053528899,200,1408,TS BLACKWATER,,50.171,-125.5756,296,2021/03/22 22:00:00+00,965305
-115.541680759569,49.1877842562344,201,791,CHERRY LAKE,FYL,49.187778,-115.541667,1372,1999/08/30 22:00:00+00,965306
-122.320185933512,51.4027257941894,202,832,CHURN CREEK,FCH,51.40272,-122.32017,1100,2003/04/13 22:00:00+00,965307
-116.746414361014,49.4358063403248,203,838,AKOKLI CREEK,FAE,49.4358,-116.7464,821,2002/12/30 23:00:00+00,965308
-118.591404305984,51.8533395664222,204,868,BIG MOUTH 2,FBT,51.853333,-118.591389,1091,2004/06/13 22:00:00+00,965309
-119.124081897442,49.767223093411,205,876,IDABEL LAKE 3,FIA,49.767217,-119.124067,1261,2004/07/31 22:00:00+00,965310
-115.214458516184,49.6673065248187,206,886,GOATHAVEN,FGN,49.6673,-115.214444,1051,2003/12/30 23:00:00+00,965311
-124.137098781527,48.8228887715337,207,934,MESACHIE 2,FMH,48.822883,-124.137083,183,2006/05/02 22:00:00+00,965312
